"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254192.1",103.841485119383,2.30683982625294,0.301833766375628,7.64274936483453,2.12631651936591e-14,4.95035048169093e-12
"ENSG00000251026.1",24.0347143503568,-6.10547579409247,0.799426612218161,-7.63731867413279,2.21792069580277e-14,5.12536829236734e-12
"GTF2IRD1",686.021129119267,-1.84300980465028,0.241588459670667,-7.62871623571201,2.37102883664221e-14,5.43889607475934e-12
"CPXM1",213.357495822694,-1.92875402737817,0.252985504777626,-7.62397050800811,2.4598959156636e-14,5.60156006430345e-12
"LOC553103",200.875083528481,1.52978821927552,0.200792516634446,7.61875116123273,2.5614170009016e-14,5.79047291138602e-12
"ENSG00000260466.1",74.7202895602237,-2.53109170695078,0.332837013392762,-7.60459806182669,2.85790702095829e-14,6.41425362106731e-12
"TTYH3",2519.14208789043,-1.36933612862601,0.180394830189909,-7.59077256917205,3.18003689031996e-14,7.08625791909369e-12
"SPTBN2",816.21026228254,-2.17907016284494,0.287179151479185,-7.58784247262071,3.25276014807694e-14,7.19690484677703e-12
"KLK6",107.621269653051,-5.27653856329072,0.696271842539841,-7.57827365823543,3.50183164700284e-14,7.63962530710123e-12
"LIFR",1745.61622528458,2.59016526009025,0.341755387455092,7.57900344857214,3.4821925555068e-14,7.63962530710123e-12
"PCSK2",77.9446535676231,3.36599755479318,0.445482572044757,7.55584565147703,4.16147107946525e-14,9.01565369903315e-12
"TRIP13",513.590445110042,-2.84172326897272,0.37655103766535,-7.54671474706764,4.46374782675623e-14,9.60383041043546e-12
"ENSG00000232679.1",21.7809100860497,-4.69377153679135,0.623991445838867,-7.52217288889473,5.38732780167329e-14,1.15115387280001e-11
"ARNTL2",952.551983091584,-1.94688971335969,0.259133862719179,-7.51306561377322,5.7758560001059e-14,1.22577809275717e-11
"ENSG00000260185.1",79.8731053071062,1.59184668334262,0.21201290592075,7.50825369063923,5.99212997913896e-14,1.26308431729188e-11
"GIF",27.6587235402883,-3.03837457704592,0.406880785461857,-7.46748110407084,8.17444602552344e-14,1.7115314943507e-11
"GRIK3",275.690185202193,2.72500463775315,0.365328893057744,7.45904495794269,8.71518690527006e-14,1.81258457255807e-11
"ONECUT2",223.69377052029,-3.53005502746708,0.473604989677787,-7.45358495878332,9.0837456158469e-14,1.87672590713626e-11
