"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINB2",47.3932218370882,-4.75535145324076,0.920940085664674,-5.16358395867704,2.42265841393678e-07,6.54936521140259e-06
"ELF5",57.9158678928661,-4.72386306339424,0.941792624204873,-5.01582083145157,5.2807522961217e-07,1.24711301576161e-05
"SLCO1B1",5.58301602835251,-4.71719694909333,1.45115453116234,-3.25065101462005,0.00115141099793909,0.00680829584964099
"FOXQ1",600.919792842778,-4.70681833553692,0.519558216688001,-9.0592703268966,1.31326098989121e-19,8.53537564617421e-17
"DHRS2",50.0931833609464,-4.6945716021553,0.665922769745176,-7.04972380498678,1.79273273521555e-12,2.75012017525045e-10
"ENSG00000232679.1",21.7809100860497,-4.69377153679135,0.623991445838867,-7.52217288889473,5.38732780167329e-14,1.15115387280001e-11
"ENSG00000228705.1",26.2868623718787,-4.69337382540851,0.782303547008761,-5.99942802682441,1.98013771383789e-09,1.12557720633707e-07
"EREG",2505.58752579939,-4.66585165318478,0.602328400147248,-7.74635838529968,9.45653691500965e-15,2.43814530692195e-12
"ENSG00000269495.1",39.5290441394558,-4.65493200865319,0.715196203221489,-6.50860838981776,7.58501709421135e-11,6.83901093318241e-09
"REG1A",16586.880008481,-4.63275899167554,1.14424586786496,-4.04874434925405,5.14931547257826e-05,0.000545107549365537
"ENSG00000233605.1",2.22873366582081,-4.6020656055868,1.40086246359823,-3.28516590684144,0.00101922337102663,0.00617651738654192
"MIR135B",4.0511796899304,-4.54195894789358,0.734480553735906,-6.18390633324611,6.25344813421681e-10,4.07283552073407e-08
"TRIM29",921.43002913995,-4.53462811965972,0.545866761589447,-8.30720688406793,9.79810334100298e-17,4.18727986204479e-14
"PIWIL1",153.36431725273,-4.52933474455601,0.933972780182211,-4.84953613281147,1.23750526645276e-06,2.52329750310632e-05
"OLR1",177.280041412924,-4.51013783928793,0.556431870914787,-8.10546281591161,5.25451118658108e-16,1.76263425255667e-13
"SLAMF9",24.2605477090173,-4.47745601063396,0.8427841940888,-5.31269575537649,1.08015293597366e-07,3.31668613617817e-06
"TFF2",87.3731399731077,-4.47441504958116,0.691099416324199,-6.47434355158272,9.52250174204007e-11,8.25204130128955e-09
"ETV4",805.361213876884,-4.46825177074963,0.391828141215333,-11.4036009687575,4.01174948487587e-30,1.0429545723306e-26
"EPYC",12.3472906677447,-4.44609170968639,0.881446279371583,-5.0440869894603,4.5569196598823e-07,1.09908260885022e-05
"PROK2",154.561185173116,-4.43114980131657,0.830429236955715,-5.33597518502695,9.50323991518568e-08,2.97066709052152e-06
"ENSG00000259912.1",1.93009147466281,-4.39272836225835,1.32591880294606,-3.31296935566352,0.000923110936221931,0.00570602177081743
"CD200R1L",11.9562599925671,-4.39137016851964,0.916880771008216,-4.78946697037917,1.67224919698202e-06,3.25447025566115e-05
"SLCO1B7",13.1626133164474,-4.36426249953558,1.10685752200922,-3.94293069591593,8.04919210880631e-05,0.000784394480095839
"ULBP2",57.7289767259733,-4.3632219911071,0.643645288861959,-6.77892321533463,1.21074849941807e-11,1.41467119611781e-09
"NPSR1",92.3458063860613,-4.36032376395777,0.935322969098309,-4.66183757698296,3.13398488905399e-06,5.43473744212437e-05
"KLK7",40.2159207815536,-4.34880106323937,0.959953765955597,-4.53021928499891,5.89224970181392e-06,9.17725980766295e-05
"ENSG00000257869.1",3.47212085017164,-4.31035461918817,1.35141798093809,-3.18950515679549,0.00142516596388466,0.00809262879055512
"CRNDE",68.3252927319484,-4.30984095322903,0.505697882732225,-8.52256080239742,1.56063674794243e-17,7.26674397396418e-15
"ENSG00000228742.5",48.8036530975161,-4.3014798907976,0.497375158051728,-8.64836094276794,5.22443631639027e-18,2.85941648706013e-15
"APLN",407.965735013926,-4.28847777064279,0.452896402261402,-9.4690038367043,2.82525088827558e-21,2.67088945337979e-18
"MMP13",143.17399418288,-4.28000298184796,0.608337830269168,-7.03556933152458,1.9844900910285e-12,2.94810177951505e-10
"ENSG00000229494.1",26.3419513978893,-4.2755984140895,0.724417017442397,-5.90212310194587,3.58853232321611e-09,1.87837991421767e-07
"KRT17",379.996036831442,-4.25147188649121,0.649955588235934,-6.54117291002954,6.1038209749012e-11,5.71834543405384e-09
"C19orf59",52.5954477602037,-4.23017699473814,0.865131025011075,-4.88963737566109,1.01021901721563e-06,2.13521698374498e-05
"ENSG00000240893.1",21.2111746942681,-4.22986423868475,0.835107012634516,-5.06505654328153,4.0827914737472e-07,1.00529475616805e-05
"FAM150A",48.2143832632073,-4.21425415583466,0.436165626550508,-9.66205014632589,4.37028971324106e-22,4.86928314942791e-19
"ENSG00000249550.2",65.5899612367299,-4.20471113132163,0.677954493028454,-6.20205511514348,5.57305520205143e-10,3.691350385104e-08
"ACAN",423.627962756168,-4.19214891052483,0.365324250635915,-11.4751454447046,1.75881685914956e-30,4.98816450498989e-27
